Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Wnt signaling pathway, calcium modulating pathway (GO:0007223)	17/36	0.00024155263812869	0.0821762074913804	0	0	2.33947100432114	19.4841044602783	FZD3;FZD5;FZD4;FZD6;NFATC1;NLK;TNRC6C;PPP3CA;GNG2;AGO3;AGO4;AGO2;CTNNB1;PDE6B;PDE6A;CALM1;PLCB2
microtubule anchoring at microtubule organizing center (GO:0072393)	8/11	0.000250538268481369	0.0799060490037765	0	0	3.60303555745716	29.8760065060682	NIN;CCDC68;KIF3A;MBD1;CEP19;HOOK3;BICD1;BBS4
'de novo' posttranslational protein folding (GO:0051084)	15/30	0.000254248575121036	0.0763194399319205	0	0	2.4770869457518	20.5033394285237	ERO1A;HSPA9;HSPA8;HSPA1L;HSPA5;HSPA4L;SELENOF;DNAJB14;HSPA2;GAK;BAG1;HYOU1;UGGT2;HSPA1B;HSPA1A
linoleic acid metabolic process (GO:0043651)	10/16	0.000266439404943959	0.0755355713016123	0	0	3.09635868218974	25.4841581427431	ELOVL1;GSTM2;ELOVL5;ACSL1;ELOVL2;GSTP1;ALOX12B;ALOX12;ABCD1;FADS1
cellular response to insulin stimulus (GO:0032869)	38/110	0.00030327218009053	0.0814525228948409	0	0	1.71144188979215	13.8641851563336	ATP6V1A;HDAC5;C2CD5;PIK3R3;IRS2;FOXO4;PIK3R1;IDE;SOGA1;FOXO1;BAIAP2L2;PDK4;ATP6V0A2;ENPP1;INPP5K;AP3S1;PCK1;ATP6V0E2;PDK2;ATP6V1F;APPL1;RAB8B;ATP6V0B;GOT1;PKLR;PDPK1;INSR;SORBS1;KAT2B;CPEB1;FER;RAB31;PKM;ATP6V1B2;TRIB3;SOS1;GPLD1;PTPN2
microtubule anchoring at centrosome (GO:0034454)	7/9	0.000332243995719055	0.0847720555077169	0	0	3.85324636005835	30.8631197670259	NIN;CCDC68;KIF3A;MBD1;CEP19;HOOK3;BBS4
insulin receptor signaling pathway (GO:0008286)	26/67	0.000346395778342805	0.0841741741373017	0	0	1.92251524147901	15.3184641161156	ATP6V1A;C2CD5;PIK3R3;IRS2;IDE;FOXO4;PIK3R1;SOGA1;FOXO1;BAIAP2L2;PDK4;ATP6V0A2;AP3S1;ATP6V0E2;PDK2;APPL1;ATP6V1F;ATP6V0B;INSR;SORBS1;FER;PIK3CA;ATP6V1B2;SOS1;GPLD1;PTPN2
cilium assembly (GO:0060271)	82/288	0.000441926396597784	0.102506836447204	0	0	1.41056339966422	10.8957096766298	CEP57;SPAG16;TTC26;CEP19;CEP164;FNBP1L;PTPDC1;HSPB11;CDC14A;RPGR;TBC1D32;CNTRL;TCTN1;TMEM107;BBS9;CEP250;KIFAP3;IFT57;CEP290;BBS4;DYNC2H1;MKKS;CEP135;DNAAF3;CCDC113;HAUS4;KIF24;IFT80;CSNK1D;RPGRIP1L;TUBG1;DYNLL1;HAUS2;HAUS1;IFT88;IFT43;FAM161A;IFT81;CEP63;MAPRE1;CFAP54;IFT46;SFI1;MAPRE2;FAM92A;SDCCAG8;DYNC2LI1;PRKAR2B;STK36;KIF3A;TMEM67;TOGARAM1;CEP192;FOPNL;E2F4;PCNT;CEP76;PIBF1;RILP;CEP78;BBS2;NDE1;MBD1;CEP152;DNAH14;RAB3IP;TMEM231;EHD1;ATAT1;NEDD1;AHI1;TTC30B;UBXN10;KIAA0586;ALMS1;TRIP11;CEP162;B9D1;CEP41;DZIP1;CLUAP1;C5ORF30
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	19/44	0.000444587764650538	0.0986404940439868	0	0	2.13930236224019	16.5119123626485	GPSM2;INTS13;TNKS;PLK2;BCCIP;KIF11;WDR62;TUBG2;TUBG1;EML1;AURKB;NDC80;AURKA;KIF2A;NUF2;EFHC1;SBDS;PCNT;SPC25
rRNA processing (GO:0006364)	61/202	0.000446952702128821	0.0950333182901406	0	0	1.49606241278079	11.5392158333738	LTV1;RPL3;DDX49;RPLP1;WDR3;RRP1;DIS3L;MRPS12;THUMPD1;PWP2;RPL8;TFB1M;WDR46;RRP9;FBL;RPS16;MRPL1;RPL18A;NOB1;RIOK1;RRP15;TEX10;DDX56;WDR75;IMP4;CSNK1D;EBNA1BP2;SBDS;SRFBP1;RPP25;UBA52;TSR3;NOP2;NOL8;NOC4L;RPF1;RRP7A;EXOSC7;EXOSC5;EXOSC4;EXOSC9;PES1;DHX37;UTP20;RPS2;LYAR;RPL17;MDN1;DCAF13;NOP56;NOP14;UTP4;RIOK3;WDR18;RPP40;WDR55;BYSL;RCL1;BOP1;TSR1;RPS21
regulation of primary metabolic process (GO:0080090)	45/139	0.000471947669196504	0.0963339582363904	0	0	1.6038692454508	12.2834610856493	PSMD11;ALAS1;LRP1;PSMD13;PEX11A;FHL2;IRS2;HMGCR;ADIPOR1;OAZ2;PSMB10;PSMD8;PSMB6;LACTB;RXRA;PSMB5;CPT2;SIN3A;PSMD2;PSMD3;PSMD1;PSMF1;APOE;CD36;TBL1X;FADS1;BBS4;SULT2A1;ABCA1;NQO1;HMGCS1;ACSL1;GRHL1;AZIN1;PSMB9;TIAM2;NCOR2;PSMC5;PSMC3;ACOX1;PSMC4;ID2;TRIB3;PLIN2;FGFR4
ncRNA processing (GO:0034470)	67/227	0.000490153251180467	0.0962020015682279	0	0	1.46224515740414	11.1434668676535	LTV1;POP7;RPL3;DDX49;RPLP1;WDR3;RRP1;DIS3L;MRPS12;PWP2;RPL8;WDR46;RRP9;FBL;RPS16;RPL18A;NOB1;DGCR8;RIOK1;TEX10;DDX56;WDR75;IMP4;CSNK1D;DICER1;EBNA1BP2;SBDS;RPP25;UBA52;NOL8;NOC4L;RPF1;RRP7A;EXOSC7;EXOSC5;EXOSC4;EXOSC9;PES1;DHX37;UTP20;RPS2;LYAR;RPL17;MDN1;DCAF13;SMAD2;NOP56;SMAD1;NOP14;SMAD3;UTP4;RIOK3;WDR18;INTS2;RPP40;ADAT1;WDR55;BYSL;RCL1;BOP1;LIN28B;AGO3;AGO4;AGO2;TSR1;RPS21;INTS8
preassembly of GPI anchor in ER membrane (GO:0016254)	10/17	0.000529970366312032	0.100164399232974	0	0	2.91421993617858	21.9810560130559	DPM2;PIGB;PIGN;PIGQ;PIGA;PIGM;PIGV;PIGF;PIGX;PIGH
erythrocyte differentiation (GO:0030218)	16/35	0.000577481950641973	0.1052460855045	0	0	2.2647652075445	16.8879767756399	LYN;HSPA9;ALAS2;DMTN;IKZF1;GATA1;KLF1;HIPK2;TAL1;CASP3;KIT;AHSP;JAK2;LYAR;ZFPM1;PTPN2
very long-chain fatty acid metabolic process (GO:0000038)	14/29	0.000643077272566385	0.113159424893319	0	0	2.39167015451898	17.5769715173197	ELOVL1;HACD1;ABCD3;ELOVL5;ELOVL2;PEX2;HACD3;HACD2;HACD4;ACOX1;ACOT2;ACOT1;ACSBG1;ABCD1
zinc II ion transmembrane transport (GO:0071577)	12/23	0.000647199280886329	0.110088597678764	0	0	2.58478637817579	18.9797149497643	SLC30A7;SLC30A6;SLC30A5;SLC39A11;SLC39A6;SLC39A10;SLC30A1;SLC39A7;SLC30A10;SLC39A14;SLC39A1;SLC39A4
organonitrogen compound biosynthetic process (GO:1901566)	55/181	0.000702916549462181	0.115709133932436	0	0	1.50541195598175	10.9297008438021	ACHE;MOCS2;ALAS2;SLC44A1;HPGDS;SPTLC1;CERS4;ELOVL1;ARG2;TYW5;SPHK2;ELOVL5;ARG1;GSTO1;SPHK1;ELOVL2;IL18;ALDH3A2;PHOSPHO1;PRKD2;HACD1;OAT;ABHD3;MGST3;GSTP1;GCNT1;MGST1;MGST2;HACD3;HACD2;HACD4;SGPL1;NFS1;GPAT4;ST3GAL4;DMD;KDSR;CEPT1;GSTM4;GSTM3;GSTM2;GOT1;MOCOS;PYCR1;ASS1;SGPP1;GLUD1;CPS1;VAPA;ACER3;LPCAT2;ALDH18A1;LPIN1;LPIN2;LPIN3
negative regulation of peptidyl-threonine phosphorylation (GO:0010801)	9/15	0.000838449589832664	0.133706508028628	0	0	2.97250433490215	21.0570902094676	SPRED1;DMTN;PARD3;DDIT4;INPP5K;SPRY2;CALM1;CALM2;EIF4G1
non-canonical Wnt signaling pathway (GO:0035567)	41/127	0.000874590907495203	0.135243557604486	0	0	1.59937897284762	11.2624337837316	PSMD11;PSMD13;ARRB2;CELSR1;NLK;PSMB10;PSMD8;PSMB6;PPP3CA;PARD6A;GNG2;PSMB5;PSMD2;PSMD3;PSMD1;PDE6B;PSMF1;PDE6A;AP2M1;FZD3;FZD5;SMURF2;FZD4;FZD6;FZD9;ARHGEF19;FZD8;NFATC1;PSMB9;TNRC6C;PSMC5;DAAM1;AGO3;PSMC3;AGO4;PSMC4;AGO2;CTNNB1;CALM1;UBA52;PLCB2
zinc II ion transport (GO:0006829)	11/21	0.00104457748258182	0.156778790988677	0	0	2.59504346697807	17.8127489249101	SLC30A7;SLC30A6;SLC30A9;SLC30A5;SLC39A11;SLC39A6;SLC30A1;SLC39A7;SLC30A10;SLC39A14;SLC39A1
intraciliary transport involved in cilium assembly (GO:0035735)	17/40	0.0010912180569219	0.159099592699213	0	0	2.10552390388903	14.3606430883314	DYNC2H1;TTC26;MBD1;IFT80;DYNLL1;HSPB11;DYNC2LI1;IFT88;IFT43;TTC30B;KIF3A;IFT81;TRIP11;KIFAP3;IFT57;IFT46;CLUAP1
alpha-linolenic acid metabolic process (GO:0036109)	8/13	0.00132242913716326	0.187454330192892	0	0	3.04872239477144	20.2078008518211	ELOVL1;ELOVL5;ACSL1;ACOX1;ELOVL2;HSD17B4;ABCD1;FADS1
cellular response to starvation (GO:0009267)	35/107	0.00155649613633576	0.214670264424902	0	0	1.620524170118	10.477204168113	PLEKHF2;RIPOR1;SEH1L;BMPR2;RALB;USP33;LRRK2;FOXO1;WRN;MAP1LC3A;SESN3;LAMP2;PDK4;GAS2L1;FADS1;SH3GLB1;HSPA8;SREBF1;GABARAPL1;WDR59;HSPA5;MIOS;MAP1LC3B2;AKR1C3;IMPACT;RRAGC;STK24;MYBBP1A;STK26;BMT2;RRAGD;ALB;PIK3C3;DEPDC5;CPEB4
positive regulation of lipid biosynthetic process (GO:0046889)	13/28	0.00157468421161871	0.211463513997113	0	0	2.30015216391238	14.8444932332657	SREBF1;LPGAT1;ELOVL5;NR1H2;MID1IP1;SIRT4;CREBL2;SORBS1;MLXIPL;CREB1;APOE;GPLD1;PLIN5
cellular response to oxidative stress (GO:0034599)	37/115	0.00162590157714213	0.212742967901443	0	0	1.59395159987507	10.2358675130264	ERO1A;PYROXD1;LRRK2;GSTP1;NCF4;MPV17L;PXN;HTRA2;PTPRK;FOXO3;PKD2;FOXO1;PRDX2;MAPK9;PRDX5;LONP1;HMOX1;ROMO1;PDK2;SNCA;SLC25A24;GPX1;DAPK1;GPX3;TPM1;TXNL1;AKR1C3;PYCR1;ARNT;CYBA;FER;CCS;CAT;NOX5;P4HB;HSPA1B;HSPA1A
positive regulation of amyloid-beta clearance (GO:1900223)	5/6	0.00166927692316201	0.212958003472394	0	0	4.12847824291966	26.4031241287216	LRPAP1;ROCK1;LRP1;ABCA7;PICALM
sphingolipid biosynthetic process (GO:0030148)	24/66	0.00167586386987446	0.20858373970657	0	0	1.80151777872858	11.5142684773955	ELOVL1;CERS4;HACD1;SPHK2;ELOVL5;ST8SIA1;SPHK1;ELOVL2;ALOX12B;CLN8;HACD3;HACD2;SGPP1;HACD4;ALDH3A2;UGCG;SGPL1;SPTLC1;VAPA;ACER3;ST3GAL5;PRKD2;KDSR;A4GALT
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	10/19	0.00169119954140765	0.205480744281029	0	0	2.60745994289663	16.6416364783965	EXOSC7;NOP14;ERI2;EXOSC9;PES1;RRS1;UTP20;KRI1;RPS21;FTSJ3
mitochondrion organization (GO:0007005)	50/167	0.00169966547343563	0.201706811882372	0	0	1.48328559625856	9.45939257617894	ALAS1;LRRK2;TFB1M;IFIT2;DNM1P46;CHCHD6;LONP1;DNM1L;BNIP3L;CXADR;CLUH;MIGA1;SIRT4;SIRT5;TIMM23;ATAD3B;POLRMT;ATAD3A;ATAD3C;RAB32;SUPV3L1;AFG3L2;WDR81;SLC25A6;PRKN;TOMM40;TIMM13;MRPL17;PLD6;SPG7;MFF;HSD17B10;TMEM70;TIMM50;MTM1;TRAK2;TERT;RAB29;FIS1;BIK;NUBPL;BNIP3;CHCHD10;TIMM44;GLUD1;NFE2L1;SLC25A36;TOMM5;BCL2L1;EIF4G1
early endosome to late endosome transport (GO:0045022)	11/22	0.00171025231844757	0.198350399569044	0	0	2.4770869457518	15.7818042227025	WDR81;SNX16;HOOK1;AKTIP;STX8;EMP2;PIK3C3;SNF8;HOOK3;RILP;RAB5A
cellular response to unfolded protein (GO:0034620)	11/22	0.00171025231844757	0.193942612911955	0	0	2.4770869457518	15.7818042227025	HSPA9;PRKN;HSPA8;HSPA5;HSPA1L;HSPA4L;HYOU1;HSPA2;TM7SF3;HSPA1B;HSPA1A
regulation of lipid metabolic process (GO:0019216)	33/100	0.00177092550131781	0.196457235504887	0	0	1.63487738419619	10.358996708912	RB1;ALAS1;PEX11A;FHL2;IRS2;RORA;HMGCR;ADIPOR1;LACTB;RXRA;CPT2;SIN3A;CD36;TBL1X;FADS1;BBS4;SULT2A1;ABCA1;HMGCS1;ACSL1;MID1IP1;GRHL1;TIAM2;NCOR2;RBL2;RBL1;NPC2;ACOX1;ID2;APOC1;TRIB3;PLIN2;FGFR4
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	7/11	0.00207366121199815	0.225146663081416	0	0	3.15265611277501	19.4784951597581	RCL1;NOP14;RRS1;TSR1;UTP20;KRI1;RPS21
cell part morphogenesis (GO:0032990)	7/11	0.00207366121199815	0.220456107600554	0	0	3.15265611277501	19.4784951597581	SUPV3L1;FIS1;NUBPL;PACSIN2;MFF;DNM1L;MTM1
glutathione biosynthetic process (GO:0006750)	7/11	0.00207366121199815	0.215957003363808	0	0	3.15265611277501	19.4784951597581	GCLC;MGST2;CHAC1;HAGH;GCLM;OPLAH;CNDP2
glycolipid biosynthetic process (GO:0009247)	17/42	0.00207530978189015	0.211806116339709	0	0	2.00526086084669	12.387789417815	PGAP2;PIGN;ST8SIA1;PIGV;ABO;UGCG;DPM2;PIGB;SCCPDH;PIGA;B3GNT5;ST3GAL4;ST3GAL5;MPPE1;A4GALT;PIGF;PIGH
response to reactive oxygen species (GO:0000302)	22/60	0.00227402736001558	0.227536502316853	0	0	1.81653042688465	11.0557726649538	GPX1;TXNRD3;GSTP1;MPV17L;TPM1;PXN;AKR1C3;PTPRK;PKD2;MAPK9;PRDX5;FER;STK24;HYAL1;HYAL2;DLC1;STK26;CAT;HMOX1;ROMO1;APOE;PDK2
membrane lipid biosynthetic process (GO:0046467)	22/60	0.00227402736001558	0.223160800349221	0	0	1.81653042688465	11.0557726649538	ELOVL1;CERS4;HACD1;SPHK2;ELOVL5;SPHK1;ELOVL2;HACD3;HACD2;ABO;SGPP1;HACD4;ALDH3A2;SGPL1;SPTLC1;SCCPDH;VAPA;B3GNT5;ACER3;ST3GAL4;PRKD2;KDSR
positive regulation of myeloid cell differentiation (GO:0045639)	13/29	0.00233161710961189	0.224495134157538	0	0	2.22083657205333	13.4609195592171	PRMT1;TESC;ARNT;FOXO3;ACVR1B;MAPK14;GATA1;FAM210B;SCIN;FES;TAL1;HSPA1B;HSPA1A
intraciliary transport (GO:0042073)	18/46	0.00243108428418898	0.229737464855859	0	0	1.93858978363184	11.6691820708423	DYNC2H1;TTC26;MBD1;IFT80;DYNLL1;HSPB11;RPGR;DYNC2LI1;IFT88;IFT43;TTC30B;KIF3A;IFT81;TRIP11;KIFAP3;IFT57;IFT46;CLUAP1
positive regulation of endocytosis (GO:0045807)	23/64	0.00247390796782896	0.229533679269658	0	0	1.7804062422591	10.6859202939481	CD63;CAMK1D;CD151;LRP1;NEDD4L;RAB27A;CYBA;ABCA7;AZU1;BICD1;PYCARD;AXL;FLOT1;ANKFY1;APOE;CALR;LDLRAP1;GAS6;DOCK2;CBLL1;LYAR;VPS28;SNCA
