logFC	logCPM	F	PValue	FDR	rank
IQGAP2	-1.13335090171448	6.8963189670699	361.122824322165	9.69453071579736e-12	1.35874024673059e-09	-11.0134732090167
TRIM32	-1.63699761300826	5.15599028266081	358.132350923348	1.02811832921868e-11	1.42269538098538e-09	-10.9879568982111
CDKN2AIP	-1.08954793401698	7.0503033445817	357.804339656735	1.03479506098272e-11	1.42269538098538e-09	-10.9851456528131
ANTXR2	-3.27410759955942	3.35481244562442	355.6557936767	1.07976743223995e-11	1.4623870453383e-09	-10.9666697757829
CPOX	1.34928276032317	8.06919401448346	355.462318567283	1.08392500589636e-11	1.4623870453383e-09	10.9650007645246
RNF130	-1.61368169217517	6.26049956112865	354.232339007026	1.1107853450362e-11	1.47664980640243e-09	-10.9543698586768
TSPO2	2.82117394035746	3.65809533156341	354.044459949797	1.11495448114342e-11	1.47664980640243e-09	10.9527428626533
LTBP1	1.90275544967995	4.78735701880883	353.289371708266	1.13189058627361e-11	1.4854520457678e-09	10.9461955520119
RRBP1	-1.16799400431606	6.62853844011914	352.618258904554	1.14718888499733e-11	1.49196565259653e-09	-10.9403650694933
MYL4	1.72538201616585	4.87528971808499	351.902120984797	1.1637732568421e-11	1.50002060140826e-09	10.9341316269839
HEPACAM2	2.98822105953689	3.67205911409562	349.867451008318	1.21239878879378e-11	1.5488662756661e-09	10.9163545061715
FAM49A	-2.47119277007181	4.08280007905259	349.381273893331	1.22435680053429e-11	1.55042234846605e-09	-10.9120920021885
CCNDBP1	1.12661208332519	7.43754297773104	347.339403375673	1.27606386356516e-11	1.60184851603709e-09	10.8941275897999
SLC44A1	-1.18551617569525	6.62255570346617	342.125963851964	1.41972824622126e-11	1.76309465136304e-09	-10.8477947770685
WNK3	-1.44958670955774	6.76713213363495	341.812278185118	1.4289420491097e-11	1.76309465136304e-09	-10.8449853837088
TPSB2	-2.24689096948786	4.4404428478486	340.827784680632	1.45830357875402e-11	1.78407376804179e-09	-10.8361520584229
SLC4A7	-1.9406207535812	4.87419347785848	335.608483515114	1.62589116062488e-11	1.97238359620006e-09	-10.7889085300348
SYBU	3.0949745683544	3.40431000912016	333.416748347368	1.70271197346206e-11	2.04409217166155e-09	10.7688588100029
DOCK10	-3.22510040894132	3.4618067545674	333.122891829342	1.7133219227698e-11	2.04409217166155e-09	-10.7661610280753
NF1	-1.29029983383528	6.6190179423787	332.068966273993	1.75199751235654e-11	2.07310131871959e-09	-10.7564665148178
SLC6A19	2.13645159850889	5.46124914874967	331.586628811609	1.77002791860093e-11	2.0774083766604e-09	10.7520198834694
SLC30A1	1.47097376898141	7.30246875941102	327.315062846692	1.93924467764777e-11	2.25765614246155e-09	10.7123673918247
PRPS2	-1.28594515158157	6.20153139227225	326.608336653426	1.96897826277743e-11	2.2739336161164e-09	-10.7057590783809
ANXA4	-1.28431309948163	5.98517540559392	323.932765590345	2.08633500382464e-11	2.39034381866766e-09	-10.6806159554344
PIAS2	-1.20687107266896	6.74023948751985	323.279513597856	2.11618242658362e-11	2.40544956772922e-09	-10.6744468964461
S100A4	-1.04858401656471	7.06992283141826	322.83758290777	2.13664962542345e-11	2.40974015567289e-09	-10.6702666889828
PITX1	2.18655602056276	5.12807495493218	320.56324391673	2.24560513231429e-11	2.5129888131852e-09	10.6486666077956
FLNA	-1.16694799732354	7.55494319425366	319.645504419176	2.29134816238057e-11	2.54445400554814e-09	-10.6399089162613
C5	3.54732549872272	3.34371068625948	317.59326881078	2.39752122468923e-11	2.64203178623005e-09	10.6202375394338
SCPEP1	1.10929158154834	6.50620826535808	316.767026738286	2.44183715441703e-11	2.67048190614881e-09	10.6122833024289
GLRX5	1.08350312530063	7.66889213709349	315.162955387976	2.53055651705815e-11	2.74670029174823e-09	10.596783958781
ARG2	2.83737835887423	4.344874566521	313.52682491458	2.62484237323514e-11	2.80952971733039e-09	10.5808967716826
GAD1	-1.0947422407837	7.22779961864221	313.483959773796	2.62736569575784e-11	2.80952971733039e-09	-10.5804794747601
HSPH1	-1.08563938451137	7.26475051580454	312.958100829921	2.6585465824241e-11	2.82196900469664e-09	-10.575355725678
ARHGAP15	-1.29707052616574	6.66940433260908	311.41918301244	2.75224041210306e-11	2.90009799920582e-09	-10.5603136325407
ZNF521	-3.74583023155576	4.21919487832037	310.744799122805	2.79447710601108e-11	2.92326605089681e-09	-10.5536994440276
PDK4	3.15266057292733	3.35955372527897	309.488486638049	2.87513933207676e-11	2.98600801423454e-09	10.5413411041271
BCR	-2.03344312361568	4.78632337012479	305.606614862896	3.14159814881999e-11	3.23943649116895e-09	-10.5028493676447
MXI1	1.00397096961971	6.95608105255435	305.125970786485	3.17650182661004e-11	3.2521971892867e-09	10.4980508905927
CCDC71L	1.80717973445343	4.43099992958418	302.848076884438	3.34802835062819e-11	3.40367163870906e-09	10.4752108731193
FER	-1.39868775504039	5.90229660582969	301.945487325117	3.41888677583291e-11	3.41418691668127e-09	-10.4661152816091
ATP7B	1.03515359297809	7.44201611074816	301.942573751757	3.41911825071403e-11	3.41418691668127e-09	10.4660858788043
RGS10	1.34789941925236	5.65953628559165	301.814345890881	3.42932323994724e-11	3.41418691668127e-09	10.4647915773787
EPB42	1.26658783215855	8.13194586026249	299.203970153185	3.64478489235806e-11	3.60384347301925e-09	10.4383280977489
ID4	-5.38195754943474	2.62228912342369	296.486909144977	3.88554952802997e-11	3.81576823038371e-09	-10.4105475508363
RUNDC3A	3.16920865698369	2.80406867469504	294.426720539286	4.08018164681765e-11	3.97649917264733e-09	10.3893205019948
CRIM1	-1.15388429646472	6.37005682368846	294.107420641868	4.11132761415735e-11	3.97649917264733e-09	-10.3860179147663
HMGCS1	-1.10336339562647	9.89870728044217	293.898458345327	4.13185699568508e-11	3.97649917264733e-09	-10.3838547179026
KIF26A	1.31057712538326	6.94260925777064	293.198208511369	4.20150670174819e-11	4.00637307346269e-09	10.3765949393848
HBBP1	3.80980543277542	4.38272508255239	293.030318914127	4.21840334695434e-11	4.00637307346269e-09	10.3748518970997
SLC22A4	1.66107740079672	4.71399941707943	291.825176843641	4.34198231993042e-11	4.09678802421671e-09	10.3623119492769
ERMAP	1.02253879315432	7.57312990038792	288.171800670307	4.74249902645334e-11	4.44563090557665e-09	10.3239927495919
RGCC	1.38956578645878	5.19935874295852	284.740997426048	5.15723036826822e-11	4.8032114578271e-09	10.2875834686644
TBC1D4	-1.01521836267498	6.63888330834911	283.519310031014	5.31474930163685e-11	4.89085101198029e-09	-10.2745172164621
CREBRF	1.24915569758481	6.0641573073155	283.486240893272	5.31908845165493e-11	4.89085101198029e-09	10.2741627876929
PREX1	-2.55004620321237	3.49919900344734	282.292915773394	5.47839704425088e-11	4.9839871536199e-09	-10.261346495653
TXNIP	0.975186315091902	9.59145217334446	282.211743864845	5.48942890984735e-11	4.9839871536199e-09	10.2604728348218
MACO1	1.28788051806976	5.98111455628366	280.986882290954	5.65899923652269e-11	5.1058320611526e-09	10.247260364657
TMSB10	-1.40303966192293	6.63201057001839	280.371754176063	5.74639790274143e-11	5.15248447975002e-09	-10.2406043050789
ENPP3	-1.16925004130399	6.59745032366038	277.288162612227	6.20830803190733e-11	5.53229226843298e-09	-10.2070267432256
ERFE	1.23611061606408	6.74122545386717	276.94365619248	6.26248500865837e-11	5.54633334877253e-09	10.2032533007518
GALNT1	-1.28487126749583	6.08161663988268	276.47984278817	6.33627479060298e-11	5.57050281482927e-09	-10.198165996593
PRDX2	1.25591872054839	8.45822934388611	276.288830811374	6.3669504325771e-11	5.57050281482927e-09	10.1960685311542
CLK3	1.29591828206849	6.40017448915558	275.886601827024	6.43210001131313e-11	5.59360215441665e-09	10.1916472114574
HDGFL3	-1.69652766173707	5.02759327619874	274.190770691613	6.71523499972074e-11	5.80485823089632e-09	-10.1729387845893
CYTL1	-3.76004589728392	2.9326931761814	273.296771318768	6.87018186926841e-11	5.90344913480707e-09	-10.1630317660301
RBM38	1.5417577559143	5.85976049847891	272.88172207734	6.94349572193493e-11	5.93114226283152e-09	10.1584218277413
LINC01344	2.45248296108768	3.67155962237807	272.568735605358	6.99936949396721e-11	5.94369988323004e-09	10.1549410796463
HSPA5	1.38587193030539	8.20976825483223	269.004604412741	7.67302331117913e-11	6.47764704796385e-09	10.1150334823804
HMBS	1.22647786342753	8.65875351604767	267.93322252011	7.88971249784527e-11	6.62185404761013e-09	10.1029388222499
TNFRSF19	-1.14890390484747	5.90298318706902	266.72782157503	8.14186470891501e-11	6.76366495550336e-09	-10.0892761184464
LONRF2	2.23222356464351	3.73830781020385	266.678474403182	8.15238086906057e-11	6.76366495550336e-09	10.0887155388314
PIK3IP1	2.83532185316991	3.92955514863366	265.86006843444	8.32905819227224e-11	6.86367618045439e-09	10.079404103638
STOM	0.992191687969234	7.38598137126361	265.682254767207	8.36801751011341e-11	6.86367618045439e-09	10.0773774197127
CCND3	1.49182833046674	6.34151322841189	263.308197820512	8.90852622712582e-11	7.26573359405584e-09	10.0501941370818
BCKDHB	-1.272869100094	5.76741369354721	259.765287400905	9.79059379435456e-11	7.94028157389339e-09	-10.0091909676666
NCEH1	1.18154415388212	5.95946475061494	258.832861932625	1.00389567384492e-10	8.09622231710912e-09	9.9983114172982
KDM7A	1.27909277084482	5.58393399103704	257.247234302174	1.04779290864938e-10	8.34047949929407e-09	9.97972454513685
SELENOP	2.80884134833775	3.07690709951378	257.226446535602	1.0483827165827e-10	8.34047949929407e-09	9.97948014735405
RHCE	2.59006653769783	3.19274461008886	257.116266290965	1.05151514884422e-10	8.34047949929407e-09	9.97818446619015
DAPK1	-1.69176158022175	4.57664295508095	256.799353875369	1.06058444613779e-10	8.36644648330332e-09	-9.97445474625957
NATD1	1.8049357355872	4.91109017040913	256.208302447061	1.07773747734265e-10	8.4555533820209e-09	9.96748701468385
FAM49B	-1.01287945613188	7.09186612095311	254.698141916307	1.1230144731151e-10	8.76315509939974e-09	-9.94961464662944
S1PR4	-1.38079095049969	5.16734636130407	254.27432133892	1.13610699960374e-10	8.81765626144065e-09	-9.94458076444442
E2F2	1.55484782576192	5.38227540027948	253.960478202438	1.14591394881042e-10	8.84621056953329e-09	9.94084799402652
DOCK9	-1.04670425864508	6.5271860164593	253.105539080514	1.17312064579433e-10	9.00806895887606e-09	-9.9306573219779
ACSL4	-1.00916963373809	7.52019640441367	252.87340759565	1.18063394961586e-10	9.01779454849448e-09	-9.92788473261843
ASAH1	0.890026684093382	8.15355827995078	252.278592501042	1.20013693317401e-10	9.11851408805265e-09	9.92076919901148
ERAP2	-1.71678998404175	4.43657076480776	250.864528954764	1.24798899999835e-10	9.39333187686479e-09	-9.90378924258715
GPR176	1.25632425868258	5.14125730997287	250.826054552786	1.24932094787894e-10	9.39333187686479e-09	9.9033259779691
LAMC1	-1.61973905240183	4.60823951763276	249.727737876377	1.28803358047871e-10	9.63422423201590e-09	-9.89007281428483
MLLT3	0.892347820832347	7.93446483705464	249.38385857218	1.30043325800581e-10	9.67683222297516e-09	9.88591193214446
KLHL24	1.05703804278977	6.45126509746108	248.994689888547	1.31462991070436e-10	9.73230635432215e-09	9.88119649079437
WDR7	-0.916945512481677	6.87751627465069	247.48427228578	1.37142227106338e-10	1.00820556953033e-08	-9.86282880213519
ENDOD1	1.41024812027421	4.78802057220511	247.27123407257	1.37965477661821e-10	1.00820556953033e-08	9.86022957111041
GSAP	-2.26949306587153	3.53536088075776	247.189565679803	1.38282559411891e-10	1.00820556953033e-08	-9.85923259088712
GPC5	-2.05632482561116	4.02507813270343	246.87925859437	1.39494916511025e-10	1.0119339772629e-08	-9.85544161870893
TP53BP1	-1.07114077769711	5.8208077060243	246.663733909147	1.40344070830349e-10	1.01300350325346e-08	-9.8528059304471
IL16	-3.36071396705839	2.93527515780364	246.258187676416	1.41957873243321e-10	1.0195541582789e-08	-9.84784051570377
GYPE	1.42658280973891	5.95187231210133	245.286314380276	1.45911819381763e-10	1.04276387356195e-08	9.83590952726779
CDK15	-2.44658268484767	4.33828029812168	244.84669798209	1.47741342317678e-10	1.05063744714187e-08	-9.83049795947428
B3GNT5	-1.4729358927926	5.35419436720481	243.693331973523	1.52666427535137e-10	1.08033948426335e-08	-9.81625645697945
MYB	-0.913274632896104	8.58131145378631	242.857263560526	1.56353309916566e-10	1.10103238144173e-08	-9.80589292054011
TWSG1	-0.928655198717637	7.01185670977332	241.72117659881	1.61526495378462e-10	1.13194004237062e-08	-9.79175622966183
PHOSPHO1	1.68115822126772	4.43117277271372	240.392258287829	1.67826266915947e-10	1.17040579188338e-08	9.77514006565338
FBLN2	4.87986277265211	2.19194099130173	240.132296933747	1.69091014030822e-10	1.1735566723793e-08	9.77187947141186
SOCS6	-1.36466089426494	5.44612072945566	239.445700562546	1.72483804593455e-10	1.18980400119822e-08	-9.76325167685676
MOCOS	2.14331569304639	4.39051096436197	239.282181963691	1.73303188784055e-10	1.18980400119822e-08	9.76119344618061
UBAC1	0.8967645463829	8.71906568099294	239.162725704336	1.7390457484956e-10	1.18980400119822e-08	9.75968899300714
OSBP2	1.52178431195019	6.60519761182335	238.828754381875	1.75598529546606e-10	1.19090903957582e-08	9.75547912517518
ESRRG	-1.21011261471746	6.33106727455401	238.805729320586	1.75716005423697e-10	1.19090903957582e-08	-9.75518867817114
FRY	2.69694329780602	3.0213977115361	238.586803160654	1.76837458530123e-10	1.19290913614059e-08	9.75242573530809
TRIM29	-2.19931874507957	4.4844651816696	238.117590476904	1.79268513220755e-10	1.20368384039759e-08	-9.74649598336201
RAB8B	1.12081083311313	6.5856542320887	237.164508751115	1.84324401835543e-10	1.23190141893421e-08	9.73441716678303
H2BU1	1.20283233857761	5.68116854451441	236.777496204634	1.86423525230501e-10	1.2401889448053e-08	9.72949928386445
PFKM	0.994101547724544	6.1169960321752	235.921684041183	1.91162547435798e-10	1.26588189668953e-08	9.71859719069603
MAP7D2	1.48330508245309	4.93235841226166	235.48023971168	1.93660451236278e-10	1.27656724842325e-08	9.71295906055878
RB1CC1	0.93948112138878	8.49112797989076	234.958459810471	1.96660894772122e-10	1.29045303496834e-08	9.70628198920668
RALGPS2	1.36703835944937	5.2823622487898	232.513965265012	2.11440059007546e-10	1.38115325422305e-08	9.67481272867578
TPRG1L	1.25287309952344	5.13738480898793	231.4463802911	2.18287565585068e-10	1.41945914269641e-08	9.66097100250247
PIK3C3	-0.938078204410609	6.81415542235444	231.142866281386	2.20280067598127e-10	1.42599240172492e-08	-9.65702479891724
HSPG2	-1.33183678287984	5.13080939733819	230.706766869321	2.23179250705491e-10	1.43831056392164e-08	-9.65134618483747
SLC30A10	4.09865786835658	2.88413879098938	229.555203399385	2.3104554472824e-10	1.47936784043068e-08	9.6363024016036
AGAP1	-1.27257835080912	6.14492578564197	229.475784093946	2.31599564933038e-10	1.47936784043068e-08	-9.63526226077948
KLHL6	-1.87626825909363	4.18294284601971	228.766206069946	2.3661706559138e-10	1.50475945324985e-08	-9.62595393584972
PKM	-2.09287925003456	3.76668213633106	227.549320570569	2.45512102463794e-10	1.55447925928391e-08	-9.60992709456466
ENO1	-0.965386257364528	8.53569900308929	225.639008755829	2.60253290945178e-10	1.64061856248236e-08	-9.58460377005837
ERO1A	-1.24418045645013	5.96599399714667	223.206152174447	2.80505059826094e-10	1.75640566026898e-08	-9.5520593004159
TRIB3	1.8186974358396	6.39782320037538	223.02808580603	2.82056306573531e-10	1.75640566026898e-08	9.5496641853218
SERPINF1	2.46587966281681	3.27184090974458	223.003552960982	2.82270790511501e-10	1.75640566026898e-08	9.54933406048575
ARL4A	0.937729025340786	7.8492000639663	222.106547390334	2.90241827835577e-10	1.79825365949974e-08	9.53723999958553
