GO_Biological_Process_2018.Term	GO_Biological_Process_2018.Overlap	GO_Biological_Process_2018.P.value	GO_Biological_Process_2018.Adjusted.P.value	GO_Biological_Process_2018.Old.P.value	GO_Biological_Process_2018.Old.Adjusted.P.value	GO_Biological_Process_2018.Odds.Ratio	GO_Biological_Process_2018.Combined.Score	GO_Biological_Process_2018.Genes
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	44/75	0.000275052748001618	0.0134960978178101	0	0	1.53116707990778	12.5533462919535	PSMD10;PSMD14;PSMD13;HFE;SNAP23;NCF4;PSMB10;PSMD8;IKBKB;PSMB6;PSMD9;PSMD6;PSMB5;PSMB2;PSMB3;PSMD2;PSMD3;PSMD1;ITGAV;CD36;PSMF1;FCGR1A;B2M;PDIA3;HLA-B;TAP1;HLA-C;CYBB;HLA-A;PSMB8;TAPBP;HLA-E;PSMB9;VAMP8;PSMA5;PSMA3;PSMC5;PSMA4;PSMC6;PSME3;PSME4;PSMC2;CALR;SEC22B
glycerophospholipid biosynthetic process (GO:0046474)	85/164	0.000284495408309737	0.0138264768438532	0	0	1.35271481907041	11.0446370863978	ARF3;PI4K2B;ACHE;ARF1;SLC44A1;MTMR12;SLC44A2;CPNE7;DGKA;INPPL1;PTEN;PIK3CB;PIK3C2A;LCLAT1;PIK3CG;IMPA1;PIP4K2B;CPNE3;MFSD2A;PLA2G12A;PCYT2;STARD7;SACM1L;PLA2G4A;HDHD5;PISD;RUFY1;INPP4A;GNPAT;PHOSPHO1;PITPNM1;DGKQ;CSNK2B;PITPNM2;FAR1;PIK3C3;PI4K2A;AGPAT5;MTMR1;VAC14;MTMR2;ABHD3;PIK3R3;PIK3R1;ABHD5;PLD6;MTMR4;PLD1;AGPAT2;SELENOI;AGPAT3;MTM1;AGPAT4;PGS1;PTDSS1;INPP5F;GPAT4;INPP5D;INPP5E;PLCG2;PIP5K1A;INPP5K;GPAT3;CEPT1;CHKA;PLEKHA1;AGK;PLEKHA2;PLEKHA4;DDHD1;CRLS1;PLEKHA8;FIG4;PIKFYVE;SYNJ1;GPAM;RAB14;LPCAT4;ETNK1;LPCAT2;CHPT1;GPD1L;LPIN1;LPIN2;LPIN3
Golgi vesicle transport (GO:0048193)	132/271	0.000290374251425766	0.0139790547643932	0	0	1.27126418073524	10.3536076475986	PITPNB;PDCD6;PROS1;GOLGA3;GOLGA5;TRAPPC12;TRAPPC11;KIFAP3;GABARAPL2;COG7;COG6;COG5;COG4;COG3;GOLPH3L;COG1;ANK3;SCAMP1;ANK1;SCAMP3;CTAGE1;DYNC1LI1;RINT1;DYNC1LI2;TBC1D20;ZW10;CTAGE9;MPPE1;TMED10;LMAN2L;SAR1B;COPB1;ARL3;TEX261;KLHL12;DNAJC28;SPTA1;SCFD1;SPAST;RACGAP1;KIF3A;VTI1A;TBC1D14;RAB6B;SEC31B;SPTBN1;SEC31A;SPTBN2;TRAPPC2;UVRAG;TRAPPC3;TRAPPC1;TRAPPC8;KIF18A;CNIH1;GOLGB1;KIF4A;HYOU1;ARF3;ARF4;ARF1;MCFD2;CTSZ;SNAP23;MIA3;IER3IP1;AREG;USE1;BICD2;KIF15;CAPZB;TMED3;MYO18A;TMED2;TMED5;CTSC;RAB8B;SCYL1;TMED9;KIF23;DYNLL1;SPTB;TAPBP;VAMP8;KIF2A;TRAPPC6B;GORASP1;PICK1;KIF2C;GAS6;SEC22B;ERGIC2;ERGIC1;DYNC1I2;DCTN5;SEC23A;STX17;DCTN2;DCTN1;DCTN4;USO1;DCTN3;HTT;NAPG;CYTH3;LMAN1;CUX1;LMAN2;STX5;CD59;YKT6;ATP9B;CD55;BCAP31;DYNC1H1;SEC24B;SEC24A;SORL1;ARCN1;YIF1B;CENPE;RABIF;SEC23IP;VAPA;KIF26A;VAPB;CAPZA1;SGSM2;COPG2;COPG1;SEC24D;SEC24C
viral life cycle (GO:0019058)	59/107	0.000295094234451843	0.0140735128823155	0	0	1.43912793725402	11.6975424576902	NUP107;NUP188;CD81;UBP1;XPO1;NUP62;ITGAV;KPNA5;NUP214;NDC1;PDCD6IP;NUP210;NUP133;VPS37A;VPS37B;NUP93;VAMP8;TBC1D20;CHMP3;NUP98;CHMP6;GAS6;PPIA;CHMP7;PPID;RAB7A;NUP205;POM121;SEH1L;CTBP1;VPS4B;NEDD4L;FURIN;CXCR6;HTATSF1;NUP160;GRK2;UBB;POM121C;NUP85;TPR;MVB12A;NUP43;APOE;EPS15;RANBP2;NUP155;VTA1;WWP1;NUP153;WWP2;CHMP2B;CHMP2A;NMT2;UBAP1;NUP35;RAN;NECTIN1;NUP37
regulation of cell cycle process (GO:0010564)	51/90	0.000307415503596305	0.0145253825449254	0	0	1.47896820218365	11.9608747653244	AHCTF1;NUMA1;CETN2;CCP110;MKI67;FLCN;ZFYVE26;KIF13A;RCC1;FBXO5;BBS4;GIT1;SH3GLB1;PRMT5;RMI2;TIPIN;BORA;PRPF40A;KNSTRN;PIK3C3;BIRC6;KIF20A;KIF20B;ATF5;MAD1L1;L3MBTL1;CUL9;CUL7;TXLNG;AURKA;RACGAP1;ECT2;RAB11FIP3;RAB11FIP4;UVRAG;DYNC1H1;YTHDF2;SPAG5;CAV2;KLHL21;HMGA2;RAB11A;KLHL9;CDK5;PRC1;CALM3;CDK13;CALM1;SLC25A33;CALM2;BCL2L1
mRNA export from nucleus (GO:0006406)	58/105	0.000310729617949656	0.0145472774348357	0	0	1.44168328952356	11.6438811191975	SMG1;NUP107;NXT1;NUP188;EIF4A3;SMG7;GLE1;HHEX;NUP62;AGFG1;NUP214;UPF2;EIF5A;NDC1;NUP210;NCBP1;NUP133;NCBP2;THOC1;THOC3;THOC2;CDC40;THOC7;SRRM1;WDR33;NUP93;DDX19A;DDX19B;SRSF3;SRSF4;NUP98;SRSF5;SRSF7;SRSF9;FYTTD1;NUP205;POM121;ENY2;SEH1L;SRSF1;NUP160;POM121C;PABPN1;FIP1L1;NUP85;TPR;SYMPK;NUP43;EIF4E;RANBP2;NUP155;CPSF3;ALYREF;NUP153;NUP35;RNPS1;BUD13;NUP37
negative regulation of translation (GO:0017148)	50/88	0.000321442549939922	0.0149120121122129	0	0	1.4829226626173	11.9266898260602	BTG2;FMR1;EIF4A3;LIMD1;SYNCRIP;METTL14;PAIP2B;METTL16;C8ORF88;NANOS1;DAPK1;METTL3;RPL13A;TSC1;NCL;EIF4E2;GAPDH;SHMT1;MALSU1;TYMS;TOB1;RIDA;LARP1;TPR;EIF4EBP1;IGF2BP1;IGF2BP3;YTHDF2;YTHDF3;EIF2AK3;SAMD4A;EIF2AK2;SAMD4B;CNOT10;EIF2AK4;PUM1;MEX3C;MOV10;CNOT6;CPEB1;CNOT7;EIF6;CNOT2;CAPRIN1;AGO2;EIF3E;CALR;CNOT9;TNRC6A;CPEB4
mitotic metaphase plate congression (GO:0007080)	28/43	0.00033235351628486	0.0152792792216364	0	0	1.69949834450652	13.6118113756573	SEH1L;CDCA5;VPS4B;PINX1;CDCA8;CENPC;CCNB1;CDC23;CHMP1B;NUF2;NUP62;RRS1;CHAMP1;SPDL1;PIBF1;CDT1;BOD1;RAB11A;NDC80;CENPE;KIF18A;ZW10;CHMP2B;CHMP2A;KIF2C;CHMP6;CHMP7;MAD1L1
cilium assembly (GO:0060271)	139/288	0.000338364505060332	0.0154167327618114	0	0	1.25966041730103	10.0664336643268	GALNT11;TRAF3IP1;CEP19;CCP110;FNBP1L;PTPDC1;CDC14A;CDC14B;TBC1D32;CEP250;KIFAP3;DYNC2H1;CEP135;IFT80;CSNK1D;CSNK1E;RPGRIP1L;IFT88;FAM161A;IFT81;TMEM138;AKAP9;WDPCP;BBOF1;UNC119B;INTU;ARL6;ARL3;DYNC2LI1;STK36;KIF3A;TTC21B;CEP70;CEP192;NPHP4;FOPNL;CEP76;PIBF1;CEP78;BBS2;DNAH14;RAB3IP;RABL2B;TMEM231;EHD1;ICK;AHI1;IFT22;WDR60;UBXN10;TMEM237;WDR5B;MKS1;CEP83;UNC119;FGFR1OP;DYNLRB1;DZIP1;C5ORF30;YWHAE;TTC26;C2CD3;CETN2;CBY3;LRRC6;PTPN23;HSPB11;RPGR;IFT52;TCTN2;CNTRL;TCTN1;BBS9;TNPO1;IFT57;CC2D2A;BBS5;CEP290;SNAP29;BBS4;YWHAG;ACTR3;IQCB1;ACTR2;MKKS;HSP90AA1;TUBB;CCDC113;KIF24;TUBG1;DYNLL1;WDR35;KIF27;HAUS1;IFT43;RILPL2;TMEM216;TRIM59;CEP63;ZMYND10;MAPRE1;CFAP54;IFT46;SFI1;MAPRE2;SSX2IP;PAFAH1B1;SDCCAG8;DYNC1I2;DCTN2;DCTN1;DCTN3;ASAP1;HDAC6;IFT74;TMEM67;FLNA;TOGARAM1;E2F4;PCNT;RILP;DYNC1H1;GSN;NDE1;MBD1;CEP152;WDR19;TUBB4B;RAB11A;ATAT1;NEDD1;TTC8;TTC30B;KIAA0586;CENPJ;ALMS1;CEP162;CEP41;CLUAP1
mitotic sister chromatid segregation (GO:0000070)	47/82	0.000365702571271156	0.0165148692141302	0	0	1.49594344697199	11.8384329986585	SEH1L;VPS4B;CDCA5;PINX1;AKAP8L;NCAPG;CDCA8;PDS5A;SMC4;NSL1;SMC2;HIRA;NIPBL;CCNB1;CDC23;CHMP1B;NUP62;NUSAP1;RRS1;SPDL1;PIBF1;DLGAP5;DIS3L2;SPAG5;BOD1;KLHL22;KIF23;TUBG2;INO80;TUBG1;HASPIN;KNSTRN;RAB11A;NDC80;CENPE;KIF18A;ESPL1;CEP57L1;PRC1;ZW10;CHMP2B;CHMP2A;KIF2C;NCAPD2;CHMP6;CHMP7;RAN
macroautophagy (GO:0016236)	60/110	0.000387841820848046	0.0173610246648033	0	0	1.42360575611261	11.1822993316518	PLEKHF2;PRKAG1;TCIRG1;ZFYVE1;TOMM22;MAP1LC3B;RB1CC1;LAMP2;EPG5;VPS36;SNAP29;UBXN6;TOMM70;ATG3;GABARAPL2;PRKAB2;GABARAPL1;LIX1L;YOD1;VPS37A;WIPI1;VPS37B;WIPI2;ATG14;DYNLL1;PRKAB1;ATG13;VAMP8;TBC1D5;CSNK2B;CHMP3;ATG4B;ULK1;VDAC1;PIK3C3;CHMP6;VPS25;SQSTM1;PRKN;TOMM40;STX17;EI24;VPS4B;UBB;ATG101;MVB12A;MFN1;ATG7;ATG5;MTERF3;VTA1;STAM;VMP1;PINK1;ATG16L1;SNX14;CHMP2B;NBR1;CHMP2A;ATP13A2
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	60/110	0.000387841820848046	0.0172100592329355	0	0	1.42360575611261	11.1822993316518	YWHAE;GSK3A;YWHAB;UBE2D3;NKAP;ZDHHC8;WDR46;UBE2L3;BBC3;PSMD8;NPEPPS;UBL5;CASP8;YWHAQ;CTSK;RUVBL1;RAC2;SNIP1;YWHAG;YWHAH;SH3GLB1;NBPF3;FBXW7;STARD7;WDR75;WBP11;DYNLL1;ATG13;YWHAZ;SREBF2;KAT2A;TFDP1;FAM20B;IL9R;LEPROT;HTRA2;UBE2J2;SELENOI;CYB5R1;UGCG;BCL2L11;SLC17A9;TP53BP2;E2F1;PMAIP1;PLAGL2;BMF;DPH6;HES1;BID;PRELID3A;ZBED3;FZD5;HUWE1;PINK1;MIS18A;BCL2;SAE1;BAP1;TP73
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	20/28	0.000387946605933899	0.017066306293799	0	0	1.8642456330046	14.6429836158592	PDIA3;BCAP31;SEC23A;SEC24B;SEC24A;ERAP2;SAR1B;HFE;HLA-B;HLA-C;TAP1;HLA-A;TAPBP;HLA-E;CANX;CALR;SEC24D;B2M;SEC24C;SEC31A
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	45/78	0.000396681183412731	0.0173014023842322	0	0	1.5057368574268	11.7934997305097	PSMD10;PSMD14;PSMD13;HFE;SNAP23;NCF4;PSMB10;PSMD8;IKBKB;PSMB6;PSMD9;PSMD6;PSMB5;PSMB2;PSMB3;PSMD2;PSMD3;PSMD1;ITGAV;CD36;PSMF1;FCGR1A;B2M;PDIA3;HLA-B;TAP1;HLA-C;CYBB;LNPEP;HLA-A;PSMB8;TAPBP;HLA-E;PSMB9;VAMP8;PSMA5;PSMA3;PSMC5;PSMA4;PSMC6;PSME3;PSME4;PSMC2;CALR;SEC22B
mitotic nuclear division (GO:0140014)	43/74	0.000428359220553304	0.0185247212074874	0	0	1.5165890149578	11.7619795297063	CTDP1;BCCIP;CDCA8;SMC4;NSL1;HIRA;SPAST;CHEK2;NUP62;NUSAP1;FLNA;MYBL2;CEP192;PIBF1;MAP9;NDEL1;CLASP2;ARHGEF10;SPAG5;UBE2C;NDE1;SPICE1;KLHL22;TUBG2;INO80;TUBG1;KNSTRN;RHOA;RAB11A;NDC80;WRAP73;KIF18A;ESPL1;KIF2A;CEP57L1;ZW10;PPP2R2D;TUBGCP5;CHMP2A;TUBGCP4;CHMP7;BIRC2;RAN
regulation of protein localization to Cajal body (GO:1904869)	8/8	0.000463403305050959	0.0198718240813029	0	0	2.60994388620645	20.0363116633541	CCT3;CCT6A;CCT2;TCP1;CCT8;CCT7;CCT5;CCT4
positive regulation of protein localization to Cajal body (GO:1904871)	8/8	0.000463403305050959	0.019706225547292	0	0	2.60994388620645	20.0363116633541	CCT3;CCT6A;CCT2;TCP1;CCT8;CCT7;CCT5;CCT4
SMAD protein complex assembly (GO:0007183)	8/8	0.000463403305050959	0.0195433641791326	0	0	2.60994388620645	20.0363116633541	FKBP1A;SMAD2;SMAD1;EID2;SMAD4;TGFB1;SMAD3;ZFYVE9
positive regulation of telomere maintenance via telomerase (GO:0032212)	22/32	0.000468773525884759	0.0196077975622125	0	0	1.79433642176693	13.7542898876475	CCT3;CCT2;ACD;XRCC5;PNKP;NEK7;PARN;CCT6A;HMBOX1;TNKS2;TCP1;MAPK1;MAPKAPK5;NAF1;ATM;PRKCQ;CCT8;CCT7;MAP3K4;CCT5;CCT4;ATR
microtubule anchoring at microtubule organizing center (GO:0072393)	10/11	0.000487210479200518	0.0202132932956118	0	0	2.37267626018768	18.0959613082169	NIN;CCDC120;CCDC68;KIF3A;DCTN1;MBD1;CEP19;HOOK3;BICD2;BBS4
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	10/11	0.000487210479200518	0.0200502828658084	0	0	2.37267626018768	18.0959613082169	CENPE;CDT1;SEH1L;BOD1;NUF2;CHAMP1;KIF2C;MAD1L1;NDC80;CENPC
positive regulation of cellular protein localization (GO:1903829)	39/66	0.000491178171924198	0.0200518576906335	0	0	1.54223956912199	11.7498661887689	PRKN;RIPOR1;NUMA1;PARK7;SNX33;OAZ1;RTN4;TM9SF4;PDCD10;DDRGK1;SESN2;NUP62;TPR;TRAPPC12;RAB29;AKT1;CEP250;FYN;STX3;PCNT;CEP290;GTSE1;CDK5RAP3;BCAS3;CDT1;B3GAT3;MBD1;EIF2AK3;LIF;PARP9;NDC80;GNL3;CCDC88A;GNL3L;RUFY3;CROCC;GPD1L;KIF20B;CENPQ
cellular protein catabolic process (GO:0044257)	37/62	0.000520394845901496	0.0210759912590106	0	0	1.5575471578974	11.7764936865845	PRKN;TINAGL1;CTSZ;CLTA;PCSK9;AFG1L;HTRA2;AP2A1;DENND3;IDE;VLDLR;TCIRG1;CTSS;SCPEP1;CASP8;CTSL;CTSK;CHEK2;LONP1;AP2S1;CTSH;CTSF;CTSC;AP2M1;CTSA;MYLIP;BNIP3L;SIAH2;NRDC;UBE2G1;UBE2G2;RNF123;CLPP;RAB12;YME1L1;CPVL;RAB7A
protein complex assembly (GO:0006461)	95/189	0.000522184780113927	0.0209819601017431	0	0	1.3118765565588	9.914492708294	DPAGT1;MCFD2;TRRAP;PDCD6;TRADD;LRRK2;CTSZ;QPRT;MLC1;TNFAIP3;AKR1B1;ASH2L;AREG;PPP6C;CASP8;SH3PXD2A;MYC;RUVBL1;TRAPPC12;TRAPPC11;EP300;TMED2;CTSC;MEN1;TLE4;SH3GLB1;TLE3;TLE1;DBNL;CSNK1D;ANO6;PYGO1;TBC1D20;BIN2;TRAPPC6B;DDIT3;GORASP1;ITGB1BP1;SEC22B;KMT2D;KHDRBS1;BLM;CDC123;STOML2;SEC23A;TMED10;KHDRBS3;NUFIP1;AHNAK;SAR1B;USO1;KLHL12;NOD1;BCL10;TANK;MALT1;LMAN1;SCFD1;WDCP;RBBP5;ZNHIT6;TRA2B;LEO1;STX5;HACL1;CD59;FADD;STX2;CAMK2G;SEC31A;ANKRD28;TRAPPC2;GSDMD;FARP2;TRAPPC3;CREBBP;SEC24B;NPM1;TRAPPC1;SEC24A;AMFR;TRAPPC9;SMARCA4;P2RX7;GRHPR;SEC23IP;CNIH1;NBR1;BAX;CTNNB1;SEC24D;SEC24C;PFKM;RBMX;MCU
mRNA catabolic process (GO:0006402)	24/36	0.000526721332209379	0.0209988981114411	0	0	1.7399625908043	13.1346973433616	PNPT1;DIS3;METTL3;CNOT10;LSM5;ZFP36L2;ERN1;ZFP36;EXOSC10;EXOSC4;XRN1;AGO3;DHX34;AGO4;THRAP3;EXOSC9;SLFN14;AGO1;MRTO4;METTL16;HSPA1B;DCP2;DIS3L2;HSPA1A
endosome organization (GO:0007032)	24/36	0.000526721332209379	0.0208361159555385	0	0	1.7399625908043	13.1346973433616	WASHC4;PI4K2B;ARFGEF2;USP8;VPS18;EXOC8;AKTIP;VPS33B;RAB27A;DNAJC13;SNX33;HOOK3;CLCN3;WASH3P;SNX3;LAPTM4B;HOOK2;ALS2;HOOK1;CHMP2B;LAMTOR1;RILP;SQSTM1;PI4K2A
neutrophil mediated immunity (GO:0002446)	222/487	0.00054639027669146	0.021447919861204	0	0	1.18974854771629	8.93760172957945	CYFIP1;GMFG;LGALS3;PSMD6;PNP;PSMD2;ANPEP;PSMD3;PSMD1;CPNE3;B2M;ARSA;NHLRC3;SLC11A1;PRKCD;ARMC8;SCAMP1;UNC13D;DYNC1LI1;BIN2;CRISPLD2;CSNK2B;CFD;MGST1;IQGAP1;IQGAP2;GNS;PLAC8;CRACR2A;NCSTN;SYNGR1;PRDX4;NEU1;MLEC;NCKAP1L;ATG7;S100A11;HMOX2;ATP6V0A1;GSDMD;VAT1;CTSA;XRCC6;JUP;XRCC5;FUCA2;RAB27A;NBEAL2;PRDX6;DERA;BST2;TCN1;CDK13;GPI;SLC44A2;HEXB;CTSZ;HBB;PTPRJ;PYGL;CTSS;CTSH;CD36;CD33;CTSC;CAP1;CCT2;MANBA;DBNL;ANXA2;MME;ARG1;PGAM1;TUBB;RHOG;NME2;COMMD3;ANO6;TMC6;AMPD3;DYNLL1;RHOA;APRT;VAMP8;PSMA5;RAP2B;LRRC7;CD47;ALDOA;CD44;RAB7A;DNASE1L1;CD63;ASAH1;CAB39;GSTP1;CST3;PGRMC1;ALOX5;CREG1;CD59;METTL7A;CCT8;CD58;CD55;DYNC1H1;GSN;GCA;PTGES2;AGL;HUWE1;TUBB4B;FABP5;DLC1;PSMC2;LAMTOR2;LAMTOR1;YPEL5;LAMTOR3;HSPA1B;HSPA1A;GHDC;RAB3A;HFE;SRP14;STK10;LAMP2;OSTF1;GYG1;ADAM10;CYBB;ATP11B;ATP11A;ATAD3B;ILF2;ACLY;RAB31;DOK3;PPIE;ADAM8;PRTN3;SLC27A2;PPIA;ARL8A;VCL;KMT2E;PSMD14;PSMD13;COPB1;UBR4;PSEN1;PLD1;RAP1B;CNN2;RAP1A;ALDH3B1;PSAP;AP1M1;TXNDC5;HSPA8;ATP8B4;TRAPPC1;IDH1;GGH;DNAJC13;ARPC5;EEF2;C6ORF120;IGF2R;DIAPH1;PTPRB;NIT2;B4GALT1;SNAP23;LRMP;SLC2A3;TCIRG1;HMGB1;ALAD;HEBP2;FCGR3B;GM2A;ADGRE5;PGM2;ITGAV;CEP290;SNAP29;ACTR2;HSP90AA1;CR1;APAF1;RNASET2;PLAUR;NDUFC2;KCNAB2;TNFRSF1B;DDOST;PKM;NPC2;DNAJC5;TMBIM1;CAT;ACPP;DOCK2;PDXK;ROCK1;MVP;AGPAT2;CAND1;STOM;MAPK1;CMTM6;CPPED1;TSPAN14;VAPA;RAB14;IMPDH1;IMPDH2;P2RX1;PTPN6;S100P;GLA
DNA-dependent DNA replication (GO:0006261)	34/56	0.000557551302836692	0.0217189641097377	0	0	1.58460878805391	11.8718193741031	PRIM2;PNKP;PRIMPOL;ORC5;ORC4;HELB;ORC1;ORC3;ORC2;POLD2;REV3L;MCMBP;TOPBP1;POLK;POLG;GINS1;WDHD1;RFC3;RFC4;POLN;TWNK;GINS4;RPA1;LRWD1;POLE4;POLA1;POLA2;CDC34;POLG2;POLE2;POLE3;CDK2AP1;DNA2;MCM2
autophagosome organization (GO:1905037)	34/56	0.000557551302836692	0.0215544265028458	0	0	1.58460878805391	11.8718193741031	STX12;UBXN2B;WDR45B;WDR45;MAP1LC3B;ATG101;RB1CC1;TP53INP2;ATG7;ATG5;ATG3;GABARAPL2;GABARAPL1;ATG9B;ATG9A;MAP1LC3B2;WIPI1;TRAPPC8;WIPI2;ATG14;ATG13;ATG16L2;ATG16L1;ATG4C;ATG2A;ATG4B;ULK2;ULK1;ATG4A;PIK3C3;ATP13A2;ATG4D;RAB7A;ATG2B
intracellular protein transport (GO:0006886)	163/347	0.000559828617668392	0.0214797401200136	0	0	1.22599669582608	9.18011596827069	IPO13;IPO11;ANKLE1;NUP107;RAB3A;NUP188;ZFYVE9;PDCD6;CSE1L;IPO7;IPO8;IPO9;CHORDC1;TBC1D30;LAMP2;AKT1;ARFIP2;ARFIP1;VPS35;EIF2D;AP1S3;SIL1;TBC1D22A;VPS36;TBC1D10A;TBC1D22B;NUP214;RAB2A;PDIA3;RAB2B;COG7;USP6;STX8;STX7;TSC2;NUP93;RAB32;STX1B;ZFYVE16;RAB31;CDC37;RABL3;ERP29;RAB38;NUP98;TSNARE1;VPS25;POM121;TBC1D9B;TMED10;FUT10;VPS26B;DNAJC27;POM121C;NUP85;MYO6;TBC1D13;TBC1D14;SNX9;AP4S1;TBC1D12;TBC1D17;RAB6B;EVI5;SEC31B;TBC1D15;SEC31A;SNX6;TBC1D8B;CTSA;RABGAP1L;ACD;TGFB1;NUP155;GRTP1;RANBP17;RABL2A;RAB27A;RAB39B;RABL2B;RAB27B;NUP153;EHD1;TBCK;IFT22;BCL6;GIPC1;CALR;NXT1;AP2A1;NXT2;PKD1;RPGR;XPO1;XPO4;XPO6;XPO5;KIF13A;NUP62;TMED3;KIF13B;TMED2;TNPO1;TMED5;TNPO3;RAB8B;YWHAH;EIF5A;TMED9;NUP133;STRADB;AP3B1;TBC1D1;CTTN;TBC1D4;TBC1D5;PICK1;ARHGEF2;NUP62CL;RAB7A;STX12;NAPB;RABGAP1;STX17;UNC93B1;USO1;KATNB1;AKAP6;TRAK1;NAPG;HDAC6;STX10;TRAK2;GGA2;RAB21;GGA1;STX6;RAB29;HEATR3;STX5;STX3;RAB28;STX2;RANBP2;RANBP1;NPM1;STAT3;XPO7;SORL1;RAB11A;ARCN1;RAB11B;SEC23IP;RAB14;SNX17;SGSM3;RAB12;SGSM2;SNX15;RUNDC1;VIPAS39;VPS45;RAN
protein localization to nucleus (GO:0034504)	53/96	0.000562665458275355	0.0214274763699935	0	0	1.44090652050981	10.782051794118	IPO13;IPO11;INTS13;NXT1;NUP107;NUP188;CSE1L;PINX1;HNRNPU;NXT2;IPO7;IPO8;HHEX;IPO9;NUP62;TNPO3;BBS4;SKP1;NUP214;PDIA3;MORC3;NUP133;TSC2;SUPT7L;TOPORS;NUP93;CNEP1R1;NUP98;NUP62CL;POM121;XPA;NOL8;TOR1AIP2;RPF2;TBRG1;WRN;POM121C;NUP85;LMNA;RRS1;HEATR3;RANBP2;RANBP1;NUP155;RANBP17;STAT3;ABCA7;NUP153;PML;PIKFYVE;CALR;NOP53;RAN
RNA modification (GO:0009451)	33/54	0.000567217599178683	0.0214408252489542	0	0	1.59496570823727	11.9219979273598	TRUB1;AARS2;WDR4;NOP2;PARN;NAT10;THUMPD1;TFB1M;MRM1;THG1L;HENMT1;TRDMT1;NOP56;NOP58;SSB;NSUN5P2;NSUN5;METTL1;NSUN2;METTL3;CDKAL1;TRMT1;PUS7;PUS7L;C9ORF64;TRIT1;LRPPRC;FTSJ3;TARBP1;ADAT2;QTRT2;TRMT6;NOP10
protein localization to microtubule organizing center (GO:1905508)	13/16	0.000574288400197281	0.021548483133873	0	0	2.12057940754274	15.8245669173204	C2CD3;DCTN2;SPAG5;CCDC14;MBD1;CSNK1D;HOOK3;NEDD1;KIAA0753;CEP83;CEP192;PIBF1;BBS4
heme biosynthetic process (GO:0006783)	13/16	0.000574288400197281	0.0213911949358155	0	0	2.12057940754274	15.8245669173204	ALAS2;FECH;COX15;UROS;CPOX;SLC25A38;ALAD;UROD;HMBS;TSPO;FXN;NFE2L1;COX10
maturation of SSU-rRNA (GO:0030490)	29/46	0.000584105075937697	0.0215991898732613	0	0	1.64539940652146	12.2507055550001	WDR3;MRPS11;UTP23;HEATR1;NAT10;SNU13;WDR46;RPS16;NOB1;PDCD11;BMS1;RIOK2;UTP20;UTP14A;DCAF13;UTP14C;NOP14;UTP6;RIOK3;NGDN;UTP18;TBL3;LSM6;TSR2;TSR1;MPHOSPH10;NOL10;SRFBP1;NOL11
negative regulation of ubiquitin protein ligase activity (GO:1904667)	44/77	0.000607915184353246	0.0223179221996735	0	0	1.49139650640368	11.044499819389	PSMD10;RPL5;PSMD14;PSMD13;UBE2D1;PSMB10;ANAPC10;ANAPC11;PSMD8;PSMB6;PSMD9;PSMD6;FZR1;CCNB1;CDC23;PSMB5;UBB;PSMB2;PSMB3;CDC26;PSMD2;PSMD3;CDC27;PSMD1;FBXO5;PSMF1;RPS7;ANAPC7;UBE2C;RPL23;USP44;PSMB8;PSMB9;PSMA5;PSMA3;PSMC5;PSMA4;PSMC6;PSME3;PSMC2;ANAPC4;ANAPC5;ANAPC1;MAD2L1
