logFC	logCPM	F	PValue	FDR	rank
CXXC5	-1.3213271551834	4.38096808035431	127.548611347156	1.11336229243006e-07	1.29616919786454e-05	-6.95336349154971
RALBP1	-0.901203834425287	7.74345661155457	126.301580885883	1.17442612680908e-07	1.35632124532927e-05	-6.93017429581118
LONRF2	2.30822671975907	2.31641146516582	125.879277928328	1.19598706304111e-07	1.36978407904967e-05	6.92227351807357
CD44	-0.894717733684176	5.61368531610492	125.533067001389	1.21400897985827e-07	1.36978407904967e-05	-6.91577810083204
SELENOP	2.03199080393288	3.06945616700693	125.522776807383	1.21454947435826e-07	1.36978407904967e-05	6.91558478962529
MAN1C1	-1.36916927091677	4.71740845875391	125.320689440158	1.2252214066579e-07	1.37110823461344e-05	-6.9117854239515
NET1	0.754102499076285	7.21939326385032	124.617291182032	1.2632316944494e-07	1.40277021085166e-05	6.89851698642614
SCPEP1	1.42167530412109	4.35643105332092	124.121570602267	1.29084893322884e-07	1.42249581680088e-05	6.88912457981255
PLIN4	2.21544618777347	2.5202442889104	123.402348720499	1.33218344178794e-07	1.44987736435048e-05	6.87543596865606
DLC1	1.22052701548951	4.59429355876779	123.190525672887	1.3446508950486e-07	1.44987736435048e-05	6.87139045472011
IGFL2-AS1	2.88253309134656	2.3399697334071	123.170664405454	1.34582686909784e-07	1.44987736435048e-05	6.8710108053658
DZIP1	-2.15600253009651	3.15790508120634	122.915072288542	1.36106818433254e-07	1.45543557844626e-05	-6.86612011775211
LGALS3BP	4.44745430594626	1.09167711676726	122.233266597918	1.40272301065574e-07	1.48894921925193e-05	6.85302807866517
SELENBP1	1.97642777735648	4.8851531858226	121.82000218187	1.42869697977084e-07	1.50545033576436e-05	6.84505987335622
SNX22	1.08679091922935	5.62601552817523	121.291585138869	1.46273230139613e-07	1.53014518137352e-05	6.83483514801301
NIN	-1.11045373148619	4.83438403325749	121.02085552395	1.48053695657761e-07	1.53762816583844e-05	-6.82958074745239
PGR	0.973622502393637	5.4260991383029	119.9691850835	1.55214850288288e-07	1.60048684197266e-05	6.80906672966467
MAP7D2	1.43694955353756	4.27674763189664	119.203707459407	1.60682573575568e-07	1.64511605116092e-05	6.79403122099864
SPIN4	-0.747437872677021	6.75002643319432	118.002369580355	1.69724630515944e-07	1.72545406065364e-05	-6.77025512809509
METRNL	1.5997717155123	3.34595441891701	116.885760736352	1.78666756078311e-07	1.80365964387867e-05	6.74795624768935
ADAMTS19	2.98987484682569	1.87630889446338	115.396100176471	1.914688291942e-07	1.91947501267185e-05	6.71790191835761
LIN28B	3.31906713096156	1.773722911139	114.790342313114	1.96979490464511e-07	1.96110063747978e-05	6.70557899029415
PLAC8	2.83868654329351	1.50160385354236	114.598607751999	1.98762225586718e-07	1.96529554011635e-05	6.70166614900328
ACSM3	-0.787666515282553	6.19381275550393	113.66152941633	2.07751346986344e-07	2.03633818994703e-05	-6.68245615172272
PFKFB2	1.22594365649812	4.39701130094176	113.558500497848	2.08768392984317e-07	2.03633818994703e-05	6.68033525179787
SLC39A6	-1.0777227492285	5.13378811819464	113.104989197602	2.13315019462926e-07	2.06672189326631e-05	-6.67097856489643
NECTIN2	3.42712923048744	1.78304258634869	112.857954108789	2.15840329659033e-07	2.07724733263853e-05	6.66586740436143
GALM	-0.826807456065858	6.0753456412489	111.748866839831	2.27617776186057e-07	2.17608623643836e-05	-6.64279382400786
LPCAT2	-1.18247072349494	4.92687719525823	111.508259030258	2.30271064669669e-07	2.18696913787589e-05	-6.63776063104922
SGPP1	-0.912466606039989	6.55975815613346	111.162382523121	2.341488432697e-07	2.20198835021411e-05	-6.63050798335629
LXN	1.13777016296281	7.39808275497805	111.095879709185	2.34903162879588e-07	2.20198835021411e-05	6.62911113557699
SHANK2	2.08600038992391	2.51768319348815	110.766463443409	2.38681793425513e-07	2.22297443218755e-05	6.62218070758059
ARHGDIG	2.05205767455947	2.99003431548333	110.316418375342	2.43959642274878e-07	2.25259571443225e-05	6.61268201213251
MALT1	-1.08448939297971	7.89606271483408	110.230470175315	2.44983047357899e-07	2.25259571443225e-05	-6.61086396744628
MTCL1	-2.0017236126992	3.35754530143112	110.073035212475	2.46870714017741e-07	2.25558584022792e-05	-6.6075304268557
C14orf180	3.56047179629769	1.33377132182814	108.55653240996	2.65952643277148e-07	2.41464928198044e-05	6.57519568891184
PRDX2	1.03100116632823	7.61171444198941	108.264722200622	2.69819526419784e-07	2.4344466771225e-05	6.56892662431013
AACS	-0.990670892323236	5.49455693941379	107.552876964826	2.79531591242915e-07	2.50640872744268e-05	-6.55356910324386
CCDC141	-2.72322620375821	1.66174244099363	107.216383555936	2.84264528236497e-07	2.533112796063e-05	-6.5462773300819
SLC2A14	2.62401511858628	2.67189831048982	106.78513843802	2.90467910299712e-07	2.5591544019623e-05	6.53690183969207
HUNK	4.28918221798011	0.698724734189696	106.766990303577	2.90732420283885e-07	2.5591544019623e-05	6.53650653628833
LRRC14B	4.02153998465816	1.1403460475224	106.433610076266	2.95641939696462e-07	2.58659820694432e-05	6.52923395699319
GIPC2	2.70435654090055	2.2952289492741	106.250861656845	2.98374305183392e-07	2.58756388848501e-05	6.52523857931446
PWWP2B	2.98207741127805	1.61911200798623	106.10361343677	3.00597392081296e-07	2.58756388848501e-05	6.52201479157884
IMPACT	-0.801186841756927	6.69896907436271	106.068549114358	3.01129629582628e-07	2.58756388848501e-05	-6.52124651007626
TXNRD3	-1.34622465235351	3.85721675868784	105.845956904404	3.04534156080171e-07	2.60133436519133e-05	-6.51636399050157
CD84	-2.19654562818697	2.49079955996392	105.489186192223	3.10085301209684e-07	2.63317141662529e-05	-6.50851881987948
MYO1F	-1.87982299792021	3.02685649092952	104.87304978522	3.19953228988913e-07	2.70107883841167e-05	-6.49491350254446
MEX3C	-0.692825032077746	6.42203663227426	103.767779637919	3.38590936461635e-07	2.8070547057138e-05	-6.47032467144085
ULK2	-1.39147313814486	3.64614284871727	103.693406021811	3.39890025642879e-07	2.8070547057138e-05	-6.4686615799648
GCSAML	-1.34427629683486	4.71916964846176	103.662635192146	3.40429206180019e-07	2.8070547057138e-05	-6.46797318789795
BEX3	-1.30978387051969	3.71692627894299	103.655057067044	3.40562147033156e-07	2.8070547057138e-05	-6.46780362486489
GYPB	1.1865084866714	5.55894340540092	103.560338987232	3.42228891802182e-07	2.8070547057138e-05	6.46568332904215
SAT1	0.693271306733754	6.79545156769544	103.385356421235	3.45333203690186e-07	2.81651419687657e-05	6.46176166235093
PALM	4.16699345489731	1.08845031349819	102.356870989149	3.64259337210985e-07	2.9541841527965e-05	6.43858930696433
SYCP2L	-0.819874074993777	6.74003344999858	101.889949196338	3.73250427237988e-07	3.01019171374726e-05	-6.4279996864911
S100A13	2.05318179467656	2.41989568844516	101.730076004687	3.76388433220598e-07	3.0186352344292e-05	6.42436373132781
TJP3	3.21380032774876	1.44541900105534	101.452627303421	3.81907769728371e-07	3.04597821204352e-05	6.41804150602618
RAB27B	-2.85444943705682	2.15879734393207	101.239083538297	3.86220365032406e-07	3.06344900527902e-05	-6.41316483001801
KCNK2	-3.37111403838146	1.11352673287315	100.878430828657	3.93633910384398e-07	3.10519078158971e-05	-6.40490749545803
SEMA3G	2.79965347624502	1.65713250899133	100.094468973753	4.10330791577481e-07	3.2094635429842e-05	6.38686589197671
VCAN	1.00593642409059	5.70887968955804	100.05017343008	4.11298666841283e-07	3.2094635429842e-05	6.38584269818451
VPS4B	-0.855467342441508	5.80937658260717	99.8901227302892	4.14818163221699e-07	3.21952419584325e-05	-6.38214223585518
FZD6	-0.870872861544318	6.156463883377	99.488489496172	4.23806259780817e-07	3.2716936717625e-05	-6.37283263288197
LMCD1	1.71773781073668	3.47812457737124	99.3479735243895	4.27004495193665e-07	3.27884941096582e-05	6.36956755301355
PURPL	2.75943790249793	1.78548007231844	99.1634865525082	4.31246500870798e-07	3.29390184474647e-05	6.36527441576486
STXBP6	-3.52905725448955	1.36419416815652	98.4843671242356	4.47292343825915e-07	3.38732314051435e-05	-6.34940853545715
TNFRSF8	2.60272154245421	1.97330387616514	98.3946536651012	4.49463841749882e-07	3.38732314051435e-05	6.34730524043828
SS18	-0.702079680095666	7.10119331425895	98.3513342461626	4.50516793418367e-07	3.38732314051435e-05	-6.34628901566606
PYGO1	-1.04714372253613	5.52738946385259	98.160192778216	4.55197397182642e-07	3.39213548691867e-05	-6.34180022990044
MMP23B	3.79101871335019	2.03174969600466	98.133466221804	4.55856389901789e-07	3.39213548691867e-05	6.34117195316088
MCUB	-0.800669974203278	5.43907587866417	97.8265198845979	4.63505281450464e-07	3.42922036422234e-05	-6.33394531288577
PIGN	-0.71070521025031	6.3729519404633	97.5852925380869	4.69621974113452e-07	3.42922036422234e-05	-6.32825159018262
TNFRSF25	2.08301043811864	3.11677319299354	97.5452198251999	4.70647199875134e-07	3.42922036422234e-05	6.32730452081192
OTULINL	-3.0861429499182	1.71527152068196	97.4717589591373	4.72533438833367e-07	3.42922036422234e-05	-6.32556745321405
HEMGN	1.15759321281293	7.21292618001033	97.4646124543591	4.72717409587313e-07	3.42922036422234e-05	6.32539840288331
C2orf88	0.887741097848151	5.54508156548819	97.3106769700181	4.76700544413006e-07	3.44082452957307e-05	6.32175435208926
DMD	5.22228647542504	0.711795961009937	96.9442380977012	4.86341273166503e-07	3.49294657683166e-05	6.31305887263241
WDR7	-0.734791142829089	6.46638417216602	96.4521001359467	4.99650198376638e-07	3.57076745730948e-05	-6.30133393582472
LMO3	1.02630352309369	5.55719145359846	96.3507292202201	5.02444223815101e-07	3.57304670689399e-05	6.29891214213391
MAP9	-2.55916973247702	1.67347104067161	96.0096740120315	5.11979614261718e-07	3.6230086820991e-05	-6.29074733119195
P2RY2	4.188555464151	1.1026658298083	95.3429818464121	5.31237554030463e-07	3.7409489414555e-05	6.27471123158485
ZADH2	-0.681105136039113	6.82995838082663	94.8759296849299	5.45234099242748e-07	3.82087352265452e-05	-6.2634169909704
ELOVL2	-1.24346218456916	4.46387723119622	94.5122030349985	5.56433505603242e-07	3.88051888255478e-05	-6.25458672688184
TUSC3	4.26858600646218	0.351814244945492	94.0927498342683	5.69684465128113e-07	3.95382929739877e-05	6.24436562326954
DYM	-0.758332436646783	6.44950241554692	93.5420809732726	5.87645141483623e-07	4.05896902509932e-05	-6.23088485014483
POGLUT3	1.93741921636938	2.44511029825677	93.3059615587225	5.95548778727407e-07	4.08506189888074e-05	6.22508266161266
MYO6	-0.901334061597434	4.99738691611332	93.2206088006098	5.98436343977902e-07	4.08506189888074e-05	-6.22298203895751
NCF4	-1.46005872987385	4.18410654575623	93.1771728180558	5.99912110392572e-07	4.08506189888074e-05	-6.22191237089538
CSRP1	-0.934507331368803	5.48862251629341	92.5812213487034	6.20596075336169e-07	4.2060680486164e-05	-6.20719097523144
MAPRE2	-0.875953202746563	6.19925807644055	92.3519788826997	6.28773847523331e-07	4.24157909478823e-05	-6.20150553012467
EPS8	2.35939988055271	2.08797885928158	92.1665524100544	6.35480880074876e-07	4.26688464407484e-05	6.19689751167629
TINCR	1.79156190022621	4.45440873550078	92.0699574291574	6.3900793641562e-07	4.27070304171106e-05	6.19449374791342
FAM13A	1.9127587077087	2.76372276884875	91.9635389478701	6.42920226232123e-07	4.27704902575434e-05	6.19184291114499
IER3IP1	-0.778879860481138	5.79597163234026	91.7816777116672	6.49671078449445e-07	4.28704791791777e-05	-6.18730646638745
SLC30A1	2.0372942703345	3.26656729428389	91.7631728694181	6.50362630939312e-07	4.28704791791777e-05	6.18684442073978
GVINP1	2.38866120207674	2.21341909226103	91.179690211188	6.72616373345276e-07	4.40070331554556e-05	6.17223256496228
GABBR1	-4.26193500987358	0.617416898242801	91.1518189956051	6.73701463518681e-07	4.40070331554556e-05	-6.17153250920455
RIPOR3	1.31536978862871	4.55505839034193	89.3611019875472	7.47914429374913e-07	4.8634651812866e-05	6.12614808793253
TCF4	-0.751973979579062	5.9167262019411	89.2409683603521	7.53226521979215e-07	4.87604397815783e-05	-6.12307439637386
GYPA	1.04296148897121	6.82945010217533	87.8002062248222	8.20500424471975e-07	5.28783219985599e-05	6.08592118993595
S100A10	-0.888163152951593	5.19626186667318	87.604248660278	8.30183157141216e-07	5.32645513621804e-05	-6.0808260818884
DST	0.942622301818852	5.29417285076288	87.0799693516079	8.56753361425267e-07	5.47260686970582e-05	6.06714418296395
SEPTIN8	-0.696990187910604	7.11250742695249	86.9554148963199	8.63211148833693e-07	5.47966296514538e-05	-6.0638829591434
SLC46A3	2.85211663341522	1.45935274387925	86.9124934617809	8.6544967861814e-07	5.47966296514538e-05	6.06275817901194
MGAT5	-0.990488025819952	4.82216011554564	86.7413110418961	8.74445353169349e-07	5.51244240976101e-05	-6.05826732576056
ZNF799	-2.71641662574266	1.49131624532626	86.0790405573901	9.10293551468478e-07	5.71347726478215e-05	-6.04081853380575
NRIP3	-0.903840977175212	5.13875680628543	85.7297897725747	9.29889350503482e-07	5.80793283285364e-05	-6.03156872598875
SLC35D1	-0.73870823422557	5.62819633884711	85.6683219353444	9.3338903936135e-07	5.80793283285364e-05	-6.02993730327177
